Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Label
124027.0,-34272.87738523455,7490.994982894118,-10524.925115539043,-6261.0418361426,-34222.07590046434,10115.384994445858,0
124049.0,-34407.072088613146,6434.691375843888,-9417.954335348366,-9936.716542401675,-34563.31872709139,7191.136957668852,0
124071.0,-34042.89801666268,1880.9173668423525,-14751.487515475954,-8029.105771720805,-34540.58861083422,4342.908198549683,0
124093.0,-30743.112049204516,7676.078098178663,-21910.754794617264,-3234.120633877644,-34633.30112444321,3709.9301537103306,0
124115.0,-26786.17344788081,-2163.1990686242293,-28730.340265419927,6393.921422776644,-31981.70976269182,2639.011622740176,0
124137.0,-16896.649319292108,-7804.336835986076,-34156.86014774226,18832.66753478302,-19473.696691880752,9471.10591412556,0
124159.0,-9193.561685011002,-5112.218576735452,-34404.94550386649,16208.056639914537,-3466.8535650433323,7326.3080327881025,0
124181.0,-11847.493478905226,-4495.244932273013,-29477.117321946884,2908.4719568966243,10222.774792805902,-2528.468195737305,0
124203.0,-17597.270987384945,-1767.4030668510113,-21999.66235905766,-4298.9643512549565,19033.92358383067,-3021.1199591871605,0
124225.0,-20587.72691458484,-1249.6358063387204,-16010.449825937467,-2289.341758250857,22878.918205139606,-2612.4038778997183,0
124247.0,-24334.964647380857,319.75342226155664,-12072.229391609384,125.89430095986448,24727.858656438973,-858.6281753257257,0
124269.0,-34565.74538623478,7749.421176791314,34284.663028572504,5849.598862422975,-7397.809072315478,-3303.2858528199877,0
124291.0,5857.533315923142,-21758.788885521568,-2082.0443438182488,-4790.720819394352,10210.595292026164,-12455.237800793395,0
124313.0,-34547.31947307317,-16476.363705205044,-5900.991385167921,-1655.5641918632207,9731.916943122145,-889.646660040539,0
124335.0,-10459.539909912688,12765.032673163618,-16006.444510675496,-7650.9408417230015,24825.091201885665,-4144.106552211618,0
124357.0,-28795.621409821553,-9626.250002281196,-5491.434996762855,-13006.945103318125,15390.06443574253,-5330.759935439471,0
124379.0,-21461.11589065563,115.20740380970832,-1956.259009912184,-5604.902762966279,14958.661033804869,628.8245250731386,0
124401.0,-15246.356455065015,3715.6044431725945,-1382.5078102393236,-4447.258101556237,11750.724579185468,-1486.4474802517025,0
124423.0,-16572.523515461817,3796.9869629059617,-1557.4012451540866,1803.6913413486861,8904.366638070567,-1150.6760056653247,0
124445.0,-18217.314316772714,4224.764177541937,-304.6517641127038,4625.8465066334675,5656.2055585973785,-1498.4571365553927,0
124467.0,-16848.509549113747,2757.834521129276,180.50220732890818,4168.004850247694,4593.231322808179,-1387.7264478968898,0
124489.0,-16791.564244055364,3658.407341941031,-948.476404860832,3536.929480063286,5592.359008359086,-206.55079602253502,0
124511.0,-15492.96636468124,5640.377097267164,-818.7986235367384,551.6180649119209,6025.96475242107,-581.7670888037874,0
124533.0,-15561.892645496333,4775.133987741689,-1994.433738633562,-5922.583390040335,6955.165975510954,-1956.0968766535705,0
124555.0,-15982.975594076004,4021.294730788733,-1547.5468479279673,-6783.502005629821,8092.026093698713,-1923.4014542702428,0
124577.0,-17148.53698178319,3385.529093038639,-706.4365209612763,-6155.109439215084,9166.732264451573,-2049.7853238698367,0
124599.0,-17952.435567680448,3051.582414638729,-1518.4289803417794,-2435.4796839323853,10274.76964606958,-257.0685641176032,0
124621.0,-18186.597763571954,4601.1414086566465,-2117.290522991439,-1211.2599347571627,9910.514177547308,-1123.1548360080594,0
124643.0,-17831.695185090142,4266.398279300109,-2197.9928044480966,-1082.1284877304804,9298.22058442064,-2269.4301892349345,0
124665.0,-18506.694242726924,4404.4761670169755,-2669.3922361063296,-397.02572695560707,9836.955366700106,-2255.3877982508643,0
124687.0,-19462.858000712487,3080.936864331175,-3280.086743273356,1491.1909225347968,9711.80974088573,-2443.344369660976,0
124709.0,-20160.205001950042,2800.0337518418187,-3294.097859682096,3266.444261751717,9676.812905140157,-1472.0579812089961,0
124731.0,-20623.83440731562,1563.5947204703452,-3054.1186389351615,3771.7636314810998,10836.72681050562,-1476.4783972469847,0
124753.0,-20690.742207730687,2099.7577538136234,-2706.9098466681417,4135.142159090932,11623.753351111372,-613.057809929392,0
124775.0,-20779.801356681142,3330.7669926640483,-2793.1855159927277,1289.188147180173,12406.745040251204,-1580.9116257408223,0
124797.0,-20682.013643654875,3146.7510053438014,-2999.529967052376,387.12320370430564,14052.893399469966,-2645.8195926588924,0
124819.0,-20350.99173736182,3687.769087039252,-2972.616391300426,784.7651861860714,15799.054458932946,-2469.347421132887,0
124841.0,-21632.470243845342,3572.669413817834,-2103.92304979871,3501.163129021946,17108.93717457996,-2566.3791472986036,0
124863.0,-25250.26580572262,3731.832178771475,1006.0441625849286,6016.757231691175,18518.424728231937,-2113.1990775393456,0
124885.0,-23463.614412749797,3229.1853915191377,3291.8149714772885,12252.239061840728,18169.21631847514,-2139.218360065152,0
