Timestamp,Ax,Ay,Az,Gx,Gy,Gz
7317,-14356,4308,-3056,8820,-3260,2784
7339,-15316,368,-632,922,-457,2806
7361,-16892,708,-3552,-900,702,1150
7383,-17184,1928,-6268,-1211,928,-1639
7405,-15360,-604,4624,2133,862,-2772
7427,-14064,-152,6052,3182,770,-1749
7449,-13920,3528,6672,-1153,-100,2957
7471,-17484,8376,-4168,-7035,-1671,3538
7493,-17632,6440,3156,-10575,-5029,-1503
7515,-14984,3424,-2600,10,-4808,-3551
7537,-12984,5728,-660,4023,-3293,420
7559,-12280,6172,-2504,-20,-1504,3800
7581,-11056,1812,644,-5551,-38,958
7603,-15580,1060,-9224,-5909,1279,97
7625,-15352,-2008,-4156,-5574,-558,-3691
7647,-18512,-2340,4176,-3884,399,-4608
7669,-16048,2140,4684,-2909,2993,-1424
7691,-14668,4444,-13192,4437,6267,215
7713,-25532,-1984,1852,2306,741,375
7735,-11804,3580,620,1688,3557,644
7757,-16144,4580,32,284,3864,1658
7779,-14848,4864,116,1493,3838,1181
7801,-16144,3584,-456,-120,2870,-382
7823,-16676,2180,-620,-930,2747,-490
7845,-17616,404,-564,166,2430,72
7867,-17340,1728,-384,610,2431,725
7889,-16676,2848,-1312,24,1980,252
7911,-16364,2896,-916,296,640,27
7933,-16116,2808,-1084,-3183,-758,-1331
7955,-15732,3648,-1768,-1156,-754,-1259
7977,-16040,2788,-632,-596,-957,-1516
7999,-16480,3248,-252,334,155,-812
8021,-15640,2672,-340,-113,1731,-1442
8043,-14728,2540,184,-459,4748,-1669
8065,-15196,1296,-36,-1413,7499,-1020
8087,-16160,1008,-852,-2061,11561,-477
8109,-18772,700,-840,-5251,15179,-1157
8131,-28332,916,5284,4614,40,342
8153,-17432,6112,-2872,7700,5492,331
8175,-18492,5320,804,6785,5505,1203
8197,-13628,7944,10056,2451,1465,1062
8219,-13956,6232,9200,-1964,-4418,80
8241,-13452,5144,6240,-2514,-7460,-141
8263,-16132,5808,1760,-3189,-8798,865
8285,-18476,3372,-4956,1432,-8837,1648
8307,-16464,2340,-6012,-282,-6244,2062
8329,-14532,1260,-612,-3540,-3654,-670
8351,-14996,1168,6044,-5959,-3294,-1881
8373,-17120,-92,-18724,5153,-2687,3440
8395,-17188,7920,640,2226,-8754,7069
